,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
526,0.06502528190612793,0.006815986458740435,0.006591510772705078,0.00047735970951794674,entropy,5,11,50,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 11, 'n_estimators': 50}",0.856,0.824,0.832,0.8629032258064516,0.8387096774193549,0.8427225806451613,0.014595618917033986,1
189,0.015971803665161134,0.0009005356827740411,0.0029848098754882814,1.292518991331115e-05,gini,4,,10,"{'criterion': 'gini', 'max_depth': 4, 'max_features': None, 'n_estimators': 10}",0.872,0.824,0.84,0.8548387096774194,0.8225806451612904,0.8426838709677419,0.01880215631798745,2
226,0.11269035339355468,0.0034620785714829477,0.011568832397460937,0.0007976536400746783,gini,5,9,100,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 9, 'n_estimators': 100}",0.888,0.824,0.832,0.8387096774193549,0.8225806451612904,0.8410580645161291,0.0241805763072659,3
528,0.294951057434082,0.011812838411281773,0.026344442367553712,0.0010121876685512976,entropy,5,11,250,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 11, 'n_estimators': 250}",0.856,0.816,0.832,0.8548387096774194,0.8387096774193549,0.8395096774193549,0.014944230700088995,4
531,1.1838325023651124,0.013246830378954745,0.10571742057800293,0.014721077036405078,entropy,5,11,1000,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 11, 'n_estimators': 1000}",0.848,0.824,0.832,0.8548387096774194,0.8387096774193549,0.8395096774193549,0.010996819140891706,4
234,0.27785649299621584,0.01131850788459573,0.02692723274230957,0.004505488181068484,gini,5,11,250,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 11, 'n_estimators': 250}",0.856,0.816,0.832,0.8548387096774194,0.8387096774193549,0.8395096774193549,0.014944230700088995,4
228,0.5449263095855713,0.01574829458488642,0.04909214973449707,0.0013149440097121282,gini,5,9,500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 9, 'n_estimators': 500}",0.856,0.816,0.84,0.8467741935483871,0.8387096774193549,0.8394967741935483,0.01325359158516468,7
227,0.28942527770996096,0.012285909311106534,0.02593073844909668,0.0006312056771534824,gini,5,9,250,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 9, 'n_estimators': 250}",0.864,0.816,0.84,0.8548387096774194,0.8225806451612904,0.8394838709677419,0.01829912173847652,8
529,0.6004095554351807,0.00983661537637586,0.050448274612426756,0.0017307648485125576,entropy,5,11,500,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 11, 'n_estimators': 500}",0.856,0.832,0.832,0.8467741935483871,0.8306451612903226,0.8394838709677419,0.0101594365948648,8
530,0.9027748584747315,0.015328180973250354,0.0720146656036377,0.0007335712279700183,entropy,5,11,750,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 11, 'n_estimators': 750}",0.856,0.824,0.84,0.8548387096774194,0.8225806451612904,0.8394838709677419,0.01438255389002884,8
