,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
79,0.6987366676330566,0.01237216394964558,0.009766483306884765,0.0004157553710075391,0.3,0.005,10,1000,"{'colsample_bytree': 0.3, 'learning_rate': 0.005, 'max_depth': 10, 'n_estimators': 1000}",0.84,0.832,0.848,0.8467741935483871,0.8548387096774194,0.8443225806451613,0.00775439857051641,1
75,0.5006283283233642,0.015047928265507863,0.007772111892700195,0.00039574211054203286,0.3,0.005,5,1000,"{'colsample_bytree': 0.3, 'learning_rate': 0.005, 'max_depth': 5, 'n_estimators': 1000}",0.824,0.832,0.848,0.8548387096774194,0.8548387096774194,0.8427354838709677,0.01254559882779501,2
57,0.05226016044616699,0.0010311581550971592,0.0017957210540771485,0.0003990892405661673,0.3,0.1,5,100,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.832,0.84,0.832,0.8629032258064516,0.8387096774193549,0.8411225806451613,0.011383512183671451,3
122,0.35585432052612304,0.004858408457397367,0.004173755645751953,0.0004080526563385248,0.7,0.005,5,500,"{'colsample_bytree': 0.7, 'learning_rate': 0.005, 'max_depth': 5, 'n_estimators': 500}",0.832,0.832,0.832,0.8709677419354839,0.8306451612903226,0.8395225806451613,0.015731334346869203,4
127,1.2087503910064696,0.022597487677779693,0.010179519653320312,0.0007394325973792003,0.7,0.005,10,1000,"{'colsample_bytree': 0.7, 'learning_rate': 0.005, 'max_depth': 10, 'n_estimators': 1000}",0.832,0.832,0.84,0.8467741935483871,0.8467741935483871,0.8395096774193549,0.006611767014899541,5
78,0.34067249298095703,0.003446394401361965,0.005194711685180664,0.000991304822481029,0.3,0.005,10,500,"{'colsample_bytree': 0.3, 'learning_rate': 0.005, 'max_depth': 10, 'n_estimators': 500}",0.832,0.824,0.856,0.8387096774193549,0.8467741935483871,0.8394967741935485,0.011156060680470859,6
120,0.010386514663696288,0.000491543703003302,0.0013890266418457031,0.0004799089433269332,0.7,0.005,5,10,"{'colsample_bytree': 0.7, 'learning_rate': 0.005, 'max_depth': 5, 'n_estimators': 10}",0.856,0.824,0.832,0.8387096774193549,0.8467741935483871,0.8394967741935485,0.011156060680470859,6
61,0.07241859436035156,0.0010056349448944865,0.0021866321563720702,0.0004033280699771298,0.3,0.1,10,100,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}",0.824,0.84,0.848,0.8629032258064516,0.8225806451612904,0.8394967741935483,0.015144144044988445,8
139,0.7099009037017823,0.00997692748102671,0.006183910369873047,0.0009773702675390152,0.7,0.0001,5,1000,"{'colsample_bytree': 0.7, 'learning_rate': 0.0001, 'max_depth': 5, 'n_estimators': 1000}",0.84,0.84,0.84,0.8467741935483871,0.8225806451612904,0.8378709677419355,0.008082817942382345,9
143,1.026243543624878,0.02249859176918397,0.008179140090942384,0.002917794310694593,0.7,0.0001,10,1000,"{'colsample_bytree': 0.7, 'learning_rate': 0.0001, 'max_depth': 10, 'n_estimators': 1000}",0.824,0.824,0.84,0.8629032258064516,0.8306451612903226,0.8363096774193549,0.0145325727652009,10
142,0.5182041168212891,0.01537891198527046,0.003998184204101562,1.7216793131368103e-05,0.7,0.0001,10,500,"{'colsample_bytree': 0.7, 'learning_rate': 0.0001, 'max_depth': 10, 'n_estimators': 500}",0.824,0.832,0.832,0.8629032258064516,0.8306451612903226,0.8363096774193549,0.013623350218498344,10
121,0.07579627037048339,0.0021862707094711955,0.0017954349517822266,0.0004001403837894662,0.7,0.005,5,100,"{'colsample_bytree': 0.7, 'learning_rate': 0.005, 'max_depth': 5, 'n_estimators': 100}",0.84,0.832,0.824,0.8467741935483871,0.8387096774193549,0.8362967741935483,0.007732854889693561,12
53,0.0369016170501709,2.3968171257479208e-05,0.00179443359375,0.0003982099511936631,0.3,0.1,3,100,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.84,0.816,0.84,0.8467741935483871,0.8387096774193549,0.8362967741935483,0.010535513501726325,12
138,0.3608405113220215,0.013192785465395365,0.003391551971435547,0.0004895518625960216,0.7,0.0001,5,500,"{'colsample_bytree': 0.7, 'learning_rate': 0.0001, 'max_depth': 5, 'n_estimators': 500}",0.84,0.832,0.832,0.8548387096774194,0.8225806451612904,0.8362838709677419,0.010794194300323304,14
54,0.16855463981628419,0.0026152481366660744,0.0029929637908935546,1.981027419838046e-06,0.3,0.1,3,500,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.808,0.832,0.824,0.8709677419354839,0.8387096774193549,0.8347354838709677,0.020813891143083477,15
126,0.5878348350524902,0.0032752823751474053,0.0051859855651855465,0.0003983260449725354,0.7,0.005,10,500,"{'colsample_bytree': 0.7, 'learning_rate': 0.005, 'max_depth': 10, 'n_estimators': 500}",0.816,0.824,0.824,0.8629032258064516,0.8467741935483871,0.8347354838709677,0.017434860482424982,15
119,0.4509929656982422,0.0019334741712100961,0.0047873973846435545,0.0003989705193684402,0.7,0.005,3,1000,"{'colsample_bytree': 0.7, 'learning_rate': 0.005, 'max_depth': 3, 'n_estimators': 1000}",0.832,0.808,0.832,0.8790322580645161,0.8225806451612904,0.8347225806451612,0.023831472121452035,17
141,0.11091027259826661,0.007609372513978843,0.002195310592651367,0.0003990175334262532,0.7,0.0001,10,100,"{'colsample_bytree': 0.7, 'learning_rate': 0.0001, 'max_depth': 10, 'n_estimators': 100}",0.824,0.832,0.832,0.8467741935483871,0.8387096774193549,0.8346967741935483,0.007628022165962323,18
104,0.010564136505126952,0.0004662499590653499,0.0017955780029296875,0.00039854377727888254,0.7,0.1,5,10,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10}",0.848,0.824,0.824,0.8629032258064516,0.8145161290322581,0.8346838709677419,0.017936996919237877,19
170,0.43901772499084474,0.01288625931216131,0.003389739990234375,0.0004900643315491535,1,0.005,5,500,"{'colsample_bytree': 1, 'learning_rate': 0.005, 'max_depth': 5, 'n_estimators': 500}",0.816,0.808,0.84,0.8629032258064516,0.8387096774193549,0.8331225806451613,0.01944082405553779,20
125,0.10989856719970703,0.002299431616991736,0.001994037628173828,2.482513348084684e-05,0.7,0.005,10,100,"{'colsample_bytree': 0.7, 'learning_rate': 0.005, 'max_depth': 10, 'n_estimators': 100}",0.816,0.816,0.84,0.8467741935483871,0.8467741935483871,0.8331096774193549,0.0141872948100424,21
